forb,,,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,
ucsc,cl3,sd,3,3,,,,,,2,,,3,,,,,,20,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,
ucsc,cl3,sd,3,4,,,5,,,1,,1,2,,,,,,17,,,,,,,,,,,,,,1,,,,,,,2,,,,,1,,,,,,,,,3,
ucsc,con,.,1,1,,1,,,,,,1,1,,,,,,14,,,,,,4,,,,,,,,5,,,,,,,2,,,,,1,,,,,,,,,3,
ucsc,con,.,1,2,,,,,,1,,1,,,,,,,10,,,,,,,,,,,,,,8,,,,,,4,3,,1,,,3,,,,,,,,,11,
ucsc,con,.,1,3,,,,,,,,,1,,,,,,1,,2,,,,3,,,,,,,,3,,,,,,2,16,,2,,,1,,,,,,,,,21,
ucsc,con,.,1,4,,,,,,1,,,,,,,,,6,,2,,,,4,,,,,,,,7,,,,,,,6,,1,,,4,,,,,,,,,11,
ucsc,con,.,2,1,,,,,,,,,,,,,,,14,,,,,,1,,,,,,,,7,,,,,,2,8,,,,,3,,,,,,,,,13,
ucsc,con,.,2,2,,,,,,,,,1,,,,,,15,,,,,,3,,,,,,,,8,,,,,,2,12,,1,,,2,,,,,,,,,17,
ucsc,con,.,2,3,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,8,,,,,,,12,,,,,7,,,,,,,,,19,
ucsc,con,.,2,4,,,,,,,,,1,,,,,,11,,,,,,3,,,,,,,,2,,,,,,,18,,,,,4,,,,,,,,,22,
ucsc,con,.,3,1,,,8,,,,,,2,,,,,,,,,,,,2,,,,,,,,4,,,,,,,4,,8,,,6,,,,,,,,,18,
ucsc,con,.,3,2,,,,,,3,1,,6,2,1,,,,,,,,,,2,,,,,,,,6,,,,,,,6,,14,,,5,,,,,,,,,25,
ucsc,con,.,3,3,,,2,,,4,,,3,,,,,,3,,,,,,2,,,,,,,,8,,,,,,,10,,7,,,1,,,,,,,,,18,
ucsc,con,.,3,4,,,,,,4,,,4,,,,,,1,,,,,,,,,,,,,,9,,,,,,,15,,6,,,4,,,,,,,,,25,
ucsc,gra,.,1,1,,,,,,2,,,,,,,,,12,,,,,,3,,,,,,,,,,,,,,3,2,,,,,6,,,,,,,,,11,
ucsc,gra,.,1,2,,1,,,,7,,,2,,,,,,10,,,,,,1,,,,,,,,,,,,,,2,4,,1,,,14,,,,,,,,,21,
ucsc,gra,.,1,3,,1,,,,4,,,1,,,,,,13,,2,,,,1,,1,,,,,,,,,,,,,11,,1,,,1,,,,,,,,,13,
ucsc,gra,.,1,4,,,,,,1,,,1,,,,,,12,,1,,,,,,,,,,,,,,,,,,2,6,,2,,,9,,,,,,,,,19,
ucsc,gra,.,2,1,,,,,,,1,,1,,,,,,15,1,,,,,3,,,,,,,,,,,,,,1,,,3,,,6,,,,,,,,,10,
ucsc,gra,.,2,2,,,,,4,1,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,2,,,2,,,5,,,,,,,,,9,
ucsc,gra,.,2,3,,1,2,,,,,1,4,,,,,,17,,,,,,1,,,,,,,,4,,,,,,2,,,2,,,4,,,,,,,,,8,
ucsc,gra,.,2,4,,,,,,,,,2,,,,,,15,,,,,,3,,2,,,,,,,,,,,,3,1,,4,,,11,,,,,,,,,19,
ucsc,gra,.,3,1,,1,,,,3,,3,,,,,,,4,,,,,,,,,,,,,,1,,,,,,8,9,,4,,,10,,,,,,,,,31,
ucsc,gra,.,3,2,,3,2,,,10,2,3,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,6,,4,,,3,,,,,,,,,15,
ucsc,gra,.,3,3,,4,1,,,1,,2,1,,,,,,2,,,,,,,,,,,,,,1,,,,,,2,20,,1,,,,,,,,,,,,23,
ucsc,gra,.,3,4,,2,1,,,1,2,1,2,,1,,,,,,,,,,4,,,,,,,,3,,,,,,3,4,,8,,,7,,,,,,,,1,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
