family,common family name,letter code_4,letter code_6,SCIENTIFIC NAME,GENUS,SPECIES,SUBSPECIES/VARIETY,SYNONYM,NewCode,COMMON NAME,sink,salt,grass,desert,juniper,oak,seep,form,soda,central,western,mountain,elkhorn,teblor,flowering months,flower color,native?,gkr prefer?,reference code,comments,newform
CAMPANULACEAE,BELLFLOWER FAMILY,paca2,parcal,Parishella californica,Parishella,californica,,,parcal,,,,,x,,,,h,,,,x,,,05-Apr,w,n,,h,,nh
URTICACEAE,NETTLE FAMILY,pahe,parhes,Parietaria hespera (P. floridana),Parietaria,hespera,,Parietaria floridana,parhes,pellitory,,,,x,,,,h,,,x,,,,06-Mar,,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,pehe,pechet,Pectocarya heterocarpa,Pectocarya,heterocarpa,,,pechet,,,,,,,,,nh,,,,,,,,,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,pepe,pecpen,Pectocarya penicillata,Pectocarya,penicillata,,,pecpen,winged pectocarya,x,C,C,C,C,,,h,C,C,C,,C,C,04-Jan,w,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,pese,pecset,Pectocarya setosa,Pectocarya,setosa,,,pecset,bristly pectocarya,,,,x,,,,h,,,,,,x,04-Jan,w,n,,t,,nh
PTERIDACEAE,BRAKE FAMILY,pean,peland,Pellaea andromedifolia,Pellaea,andromedifolia,,,peland,,,,,,,,,np,,,,,,,,,n,,f,,np
PTERIDACEAE,BRAKE FAMILY,pemu,pelmuc,Pellaea mucronata,Pellaea,mucronata,,,pelmuc,bird's-foot fern,,,,,,,x,f,,,,,,,06-Dec,,n,,k,,nf
SCROPHULARIACEAE,FIGWORT FAMILY,pece,pencen,Penstemon centranthifolius,Penstemon,centranthifolius,,,pencen,scarlet bugler,,,,x,C,x,,h,,,x,,x,x,07-Feb,r,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,pefr,penfra,Pentachaeta fragilis,Pentachaeta,fragilis,,,penfra,,,,,,,,,h,,,,x,,,,,n,,h,,nh
PTERIDACEAE,BRAKE FAMILY,petr,pentri,Pentogramma triangularis,Pentogramma,triangularis,,,pentri,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
APIACEAE,CARROT FAMILY,pepr,perpri,Perideridea pringlei,Perideridea,pringlei,,,perpri,Pringle's yampah,,,,,,,,p,,,,x,,,,,n,,h,,np
HYDROPHYLLACEAE,WATERLEAF FAMILY,phaf,phaaff,Phacelia affinis,Phacelia,affinis,,,phaaff,,,,,,,,,h,,,,x,,,,,n,,h,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,phca,phacan,Phalaris canariensis,Phalaris,canariensis,,,phacan,reed grass,,,,,,,,a,,,,,,,07-Apr,,i,,n,,ia
HYDROPHYLLACEAE,WATERLEAF FAMILY,phcihi,phacic,Phacelia cicutaria v hispida,Phacelia,cicutaria,hispida,,phacic,,,,,,,,,nh,,,,,,,,,n,,cs,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,phci,phacil,Phacelia ciliata,Phacelia,ciliata,,,phacil,valley phacelia,x,C,C,x,,,,h,C,C,x,,x,,07-Mar,b,n,,t,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,phcr,phacry,Phacelia cryptantha,Phacelia,cryptantha,,,phacry,sheltered phacelia,,,x,,,,,h,,,,,x,,06-Apr,b,n,,h,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,phdi,phadis,Phacelia distans,Phacelia,distans,,,phadis,common phacelia,,,x,,,,,h,,,,,x,,05-Feb,b,n,,t,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,phdo,phadou,Phacelia douglasii,Phacelia,douglasii,,,phadou,Douglas phacelia,,,x,,,,,h,x,,,,,,06-Mar,b,n,,t,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,pheg,phaege,Phacelia egena,Phacelia,egena,,,phaege,rock phacelia,,,,x,,,,p,,,x,,,,07-Jun,w,n,,t,,np
HYDROPHYLLACEAE,WATERLEAF FAMILY,phfr,phafre,Phacelia fremontii,Phacelia,fremontii,,,phafre,Fremont's phacelia,,,x,x,,,,h,,,,,x,,06-Apr,b,n,,t,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,phim,phaimb,Phacelia imbricata,Phacelia,imbricata,,,phaimb,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
HYDROPHYLLACEAE,WATERLEAF FAMILY,phra,pharam,Phacelia ramosissima,Phacelia,ramosissima,,,pharam,,,,,,,,,np,,,,,,,,,n,,b,,np
HYDROPHYLLACEAE,WATERLEAF FAMILY,phta,phatan,Phacelia tanacetifolia,Phacelia,tanacetifolia,,,phatan,tansy phacelia,,,,C,x,,,h,,,C,,x,,05-Mar,b,n,,t,,nh
POLEMONIACEAE,PHLOC FAMILY,phgr,phlgra,Phlox gracilis (Microsteris g.),Phlox,gracilis,,Microsteris gracilis,phlgra,slender phlox,C,C,C,C,x,,,h,C,C,C,,C,C,06-Mar,p,n,,t,,nh
VISCACEAE,MISTLETOE FAMILY,phde,phoden,Phoradendron densum (P. bolleanum),Phoradendron,densum,,Phoradendron bolleanum,phoden,dense mistletoe,,,,,,x,,s,,,,x,,,,w,n,,h,,ns
VISCACEAE,MISTLETOE FAMILY,phju,phojun,Phoradendron juniperinum,Phoradendron,juniperinum,,,phojun,juniper mistletoe,,,,,x,,,s,,,,x,,,,w,n,,h,,ns
HYDROPHYLLACEAE,WATERLEAF FAMILY,phme,phomem,Pholistoma membranaceum,Pholistoma,membranaceum,,,phomem,white fiesta flower,,,,x,,,,h,,,,,x,,05-Mar,w,n,,h,,nh
VISCACEAE,MISTLETOE FAMILY,phvi,phovil,Phoradendron villosum,Phoradendron,villosum,,,phovil,,,,,,,,,ns,,,,,,,,,n,,"b,dk",,ns
MARSILEACEAE,MARSILEA FAMILY,piam,pilame,Pilularia americana,Pilularia,americana,,,pilame,pillwort,x,,,,,,x,f,,,,,,,04-Jan,,n,,h,,nf
PINACEAE,PINE FAMILY,pimo,pinmon,Pinus monophylla,Pinus,monophylla,,,pinmon,singleleaf pinyon,,,,,,x,,t,,,,x,,,,,n,,h,,nt
BORAGINACEAE,BORAGE FAMILY,plac,plaaca,Plagiobothrys acanthocarpus,Plagiobothrys,acanthocarpus,,,plaaca,adobe allocarya,,,x,,,,,h,,x,,,,,04-Jan,w,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,plar,plaari,Plagiobothrys arizonicus,Plagiobothrys,arizonicus,,,plaari,Arizona popcorn flower,,C,C,C,,,,h,,x,C,,C,C,06-Mar,w,n,,t,,nh
PAPAVERACEAE,POPPY FAMILY,plca2,placal,Platystemon californicus,Platystemon,californicus,,,placal,cream cups,,x,C,C,C,,,h,,C,C,,C,,06-Feb,wy,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,plca1,placan,Plagiobothrys canescens,Plagiobothrys,canescens,,,placan,valley popcorn flower,,,x,,,,,h,,x,,,,,06-Feb,w,n,,t,,nh
PLANTAGINACEAE,PLAINTAIN FAMILY,plel,plaelo,Plantago elongata,Plantago,elongata,,Plantago bigelovii,plaelo,plaintain,,x,,,,,,h,x,,,,,,06-Apr,,n,,h,,nh
PLANTAGINACEAE,PLAINTAIN FAMILY,pler,plaere,Plantago erecta,Plantago,erecta,,,plaere,Indian wheat,,,C,C,,,,h,,x,C,,x,x,05-Mar,,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,plle,plalep,Plagiobothrys leptocladus,Plagiobothrys,leptocladus,,,plalep,alkali plagiobothrys,x,x,,,,,,h,x,,,,,,06-Mar,w,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,plno,planot,Plagiobothrys nothofulvus,Plagiobothrys,nothofulvus,,,planot,popcorn flower,,,x,,,,,p,,x,,,,,06-Feb,w,n,,k,,np
PLANTAGINACEAE,PLAINTAIN FAMILY,plov,plaova,Plantago ovata,Plantago,ovata,,Plantago insularis,plaova,plaintain,,,,x,,,,h,,,,,x,,04-Feb,,n,,t,,nh
PLANTAGINACEAE,PLAINTAIN FAMILY,plra,plarac,Platanus racemosa,Platanus,racemosa,,,plarac,,,,,,,,,nt,,,,,,,,,n,,b,,nt
BORAGINACEAE,BORAGE FAMILY,plte,platen,Plagiobothrys tenellus,Plagiobothrys,tenellus,,,platen,,,,,,,,,nh,,,,,,,,,n,,b,,nh
VALERIANACEAE,,plma,plemac,Plectritis macrocera,Plectritis,macrocera,,,plemac,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
POACEAE (GRAMINEAE),GRASS FAMILY,poan,poaann,Poa annua,Poa,annua,,,poaann,annual bluegrass,,,x,,,,,a,,x,,,,,07-Jan,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,pobu,poabul,Poa bulbosa,Poa,bulbosa,,,poabul,bulbous bluegrass,,,x,,,,,pg,,,x,,,,07-Apr,,i,,n,,ipg
POACEAE (GRAMINEAE),GRASS FAMILY,pose,poasec,Poa secunda ssp secunda (P. scabrella),Poa,secunda,secunda,Poa scabrella,poasec,one-sided bluegrass,C,C,C,C,C,C,,pg,C,C,C,C,C,C,07-Apr,,n,,t,,npg
POLYGONACEAE,BUCKWHEAT FAMILY,poar,polare,Polygonum arenastrum,Polygonum,arenastrum,,,polare,,,,,,,,,"ih,ip",,,,,,,,,i,,"b,w",,"ih,ip"
POACEAE (GRAMINEAE),GRASS FAMILY,pomo,polmon,Polypogon monspeliensis,Polypogon,monspeliensis,,,polmon,annual beard grass,,,,,,,x,a,,,,,,,08-Apr,,i,,t,,ia
SALICACEAE,WILLOW FAMILY,pofr,popfre,Populus fremontii ssp fremontii,Populus,fremontii,fremontii,,popfre,Fremont cottonwood,,,,,,,x,t,,,,,,,04-Mar,,n,,t,,nt
FABACEAE,LEGUME FAMILY (PEA FAMILY),prgl,progla,Prosopis glandulosa v torreyana,Prosopis,glandulosa,torreyana,,progla,mesquite,,,,,,,,s,,,,,x,,06-Apr,,n,,l,,ns
ROSACEAE,ROSE FAMILY,prfa,prufas,Prunus fasciculata,Prunus,fasciculata,,,prufas,desert almond,,,,x,,,,s,,,x,,,,05-Mar,w,n,,c,,ns
ASTERACEAE,SUNFLOWER FAMILY,psbr,psibre,Psilocarphus brevissimus,Psilocarphus,brevissimus,,,psibre,woolly marbles,x,x,,,,,,h,x,,,,,,04-Mar,w,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,pssp,psilsp,Psilocarphus sp.,Psilocarphus,sp.,,,psilsp,woolly marbles,x,x,,,,,,h,x,,,,,,06-Mar,w,n,,t,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,ptdr,ptedry,Pterostegia drymarioides,Pterostegia,drymarioides,,,ptedry,fairy mist,,,,x,,,,h,,,,,x,,07-Mar,y,n,,t,,nh
PUNICACEAE,,pugr,pungra,Punica granatum,Punica,granatum,,,pungra,,,,,,,,,is,,,,,,,,,i,,v,,is
FAGACEAE,OAK FAMILY,qudo,quedou,Quercus douglasii,Quercus,douglasii,,,quedou,blue oak,,,,x,x,C,,t,,,,C,x,,,,n,,t,,nt
FAGACEAE,OAK FAMILY,qujo,quejoh,Quercus john-tuckeri (Q. turbinella ssp calif.),Quercus,john-tuckeri,,Quercus turbinella californicus,quejoh,Tucker's oak,,,,,,x,,t,,,,,,x,06-May,,n,,t,,nt
RHAMNACEAE,,rhil,rhaili,Rhamnus ilicifolia,Rhamnus,ilicifolia,,,rhaili,,,,,,,,,ns,,,,,,,,,n,,b,,ns
GROSSULARIACEAE,GOOSEBERRY FAMILY,riqu,ribque,Ribes quercetorum,Ribes,quercetorum,,,ribque,oak gooseberry,,,,C,,,,s,,,C,,,,03-Jan,y,n,,h,,ns
FABACEAE,LEGUME FAMILY (PEA FAMILY),rops,robpse,Robinia pseudoacacia,Robinia,pseudoacacia,,,robpse,,,,,,,,,nt,,,,,,,,,n,,b,,nt
POLYGONACEAE,BUCKWHEAT FAMILY,rucr,rumcri,Rumex crispus,Rumex,crispus,,,rumcri,curly dock,,,,x,,,,p,,,,,,x,all,y,i,,t,,ip
POLYGONACEAE,BUCKWHEAT FAMILY,ruhy,rumhym,Rumex hymenosepalus,Rumex,hymenosepalus,,,rumhym,wild rhubarb,,,,x,,,,p,,,,,x,,04-Feb,p,n,,t,,np
SALICACEAE,WILLOW FAMILY,saba,salbab,Salix babylonicaro,Salix,babylonicaro,,,salbab,weeping willow,,,,,,,,t,,,,,,,,,i,,v,,it
LAMIACEAE,MINT FAMILY,saca,salcar,Salvia carduacea,Salvia,carduacea,,,salcar,thistle sage,,,x,C,C,,,h,,,C,,C,,05-Mar,p,n,,t,,nh
LAMIACEAE,MINT FAMILY,saco,salcol,Salvia columbariae,Salvia,columbariae,,,salcol,chia,,,,C,,,,h,,,C,,,,06-Mar,b,n,,t,,nh
SALICACEAE,WILLOW FAMILY,sago,salgoo,Salix goodingii,Salix,goodingii,,,salgoo,,,,,,,,,nt,,,,,,,,,n,,b,,nt
SALICACEAE,WILLOW FAMILY,sala,sallae,Salix laevigata,Salix,laevigata,,,sallae,red willow,,,,,,,x,t,,,,,,,05-Feb,,n,,t,,nt
LAMIACEAE,MINT FAMILY,sale,salleu,Salvia leucophylla,Salvia,leucophylla,,,salleu,purple sage,,,,C,C,,,s,,,C,C,,,06-Jan,p,n,,h,,ns
LAMIACEAE,MINT FAMILY,same1,salmel,Salvia mellifera,Salvia,mellifera,,,salmel,black sage,,,,x,x,,,s,,,,,,x,07-Jan,w,n,,h,,ns
CHENOPODIACEAE,GOOSEFOOT FAMILY,satr,saltra,Salsola tragus,Salsola,tragus,,,saltra,"tumbleweed, Russian thistle, synonym: Salsola kali (SALKAL)",,,C,,,,,h,,C,,,,,10-Jul,,i,,t,,ih
CAPRIFOLIACEAE,HONEYSUCKLE FAMILY,same2,sammex,Sambucus mexicana,Sambucus,mexicana,,,sammex,blue elderberry,,,,,x,x,,s,,,x,,,,11-Feb,w,n,,t,,ns
APIACEAE,CARROT FAMILY,sabi,sanbip,Sanicula bipinnata,Sanicula,bipinnata,,,sanbip,,,,,,,,,np,,,,,,,,,n,,"b,cs",,np
POACEAE (GRAMINEAE),GRASS FAMILY,scar,schara,Schismus arabicus,Schismus,arabicus,,,schara,"Mediterranean grass, Arabian sheepgrass",C,C,C,C,C,x,,a,C,C,C,C,C,C,05-Mar,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,scba,schbar,Schismus barbatus,Schismus,barbatus,,,schbar,Mediterranean grass,,,,x,,,,a,,,,x,,,04-Mar,,i,,h,,ia
ANACARDIACEAE,SUMAC FAMILY,scmo,schmol,Schinus mollero,Schinus,mollero,,,schmol,Peruvian pepper tree,,,,,,,,t,,,,,,,,,i,,v,,it
CYPERACEAE,SEDGE FAMILY,scma,scimar,Scirpus maritimus,Scirpus,maritimus,,,scimar,,,,,,,,,npg,,,,,,,,,n,,f,,npg
ASTERACEAE,SUNFLOWER FAMILY,sebr,senbre,Senecio breweri,Senecio,breweri,,,senbre,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
ASTERACEAE,SUNFLOWER FAMILY,sefl,senfla,Senecio flaccidus v douglasii,Senecio,flaccidus,douglasii,,senfla,bush groundsel,,,,x,,,,s,,,x,,,,11-Feb,y,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,sevu,senvul,Senecio vulgaris,Senecio,vulgaris,,,senvul,common groundsel,,,,x,,,,h,,,x,,,,all,y,i,,t,,ih
BRASSICACEAE,MUSTARD FAMILY,siar,sinarv,Sinapis arvensis (Brassica kaber),Sinapis,arvensis,,Brassica kaber,sinarv,charlock,,,x,,,,,h,,x,,,,,10-Mar,y,i,,t,,ih
BRASSICACEAE,MUSTARD FAMILY,sial,sisalt,Sisymbrium altissimum,Sisymbrium,altissimum,,,sisalt,tumble mustard,,,x,,,,,h,,x,,,,,06-May,y,i,,h,,ih
BRASSICACEAE,MUSTARD FAMILY,siir,sisiri,Sisymbrium irio,Sisymbrium,irio,,,sisiri,London rocket,,,x,,,,,h,,x,,,,,04-Jan,y,i,,t,,ih
BRASSICACEAE,MUSTARD FAMILY,sior,sisori,Sisymbrium orientale,Sisymbrium,orientale,,,sisori,,,,,,,,,ih,,,,,,,,,i,,b,,ih
SOLANACEAE,NIGHTSHADE FAMILY,soum,solumb,Solanum umbelliferum,Solanum,umbelliferum,,,solumb,nightshade,,,,x,,,,p,,,x,,,,09-Mar,p,n,,h,,np
ASTERACEAE,SUNFLOWER FAMILY,soas,sonasp,Sonchus asper ssp asper,Sonchus,asper,asper,,sonasp,,,,,,,,,ih,,,,,,,,,i,,"b,dk",,ih
ASTERACEAE,SUNFLOWER FAMILY,sool,sonole,Sonchus oleraceus,Sonchus,oleraceus,,,sonole,common sow thistle,,,x,,,,,h,,x,,,,,all,y,i,,,,ih
POACEAE (GRAMINEAE),GRASS FAMILY,sobi,sorbic,Sorghum bicolor,Sorghum,bicolor,,,sorbic,sorghum,,,x,,,,,a,,,,,x,,08-May,,i,,c,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,soha,sorhal,Sorghum halepense,Sorghum,halepense,,,sorhal,,,,,,,,,ipg,,,,,,,,,i,,s,,ipg
CARYOPHYLLACEAE,PINK FAMILY,spar,spearv,Spergula arvensis ssp arvensis,Spergula,arvensis,arvensis,,spearv,stickwort,x,x,,,,,,h,x,,,,,,all,w,i,,c,,ih
CARYOPHYLLACEAE,PINK FAMILY,spat,speatr,Spergularia atrosperma,Spergularia,atrosperma,,,speatr,sand spurrey,x,,,,,,,h,x,,,,,,05-Apr,w,n,,h,,nh
CARYOPHYLLACEAE,PINK FAMILY,spma,spemar,Spergularia marina,Spergularia,marina,,,spemar,sand spurrey,x,,,,,,,h,x,,,,,,09-Mar,w,n,,t,,nh
CARYOPHYLLACEAE,PINK FAMILY,spru,sperub,Spergularia rubra,Spergularia,rubra,,,sperub,,,,,,,,,"ih,ip",,,,,,,,,i,,"b,d",,"ih,ip"
LAMIACEAE,MINT FAMILY,stal,staalb,Stachys albens,Stachys,albens,,,staalb,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
BRASSICACEAE,MUSTARD FAMILY,stpi,stapin,Stanleya pinnata,Stanleya,pinnata,,,stapin,Prince's plume,,,,C,,,,h,,,x,,C,,12-May,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,stex,steexi,Stephanomeria exigua ssp coronaria,Stephanomeria,exigua,coronaria,,steexi,small wire lettuce,,,,C,x,,,h,,,x,C,C,C,10-Aug,p,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,sthe1,stehet,Stebbinsoseris heterocarpa,Stebbinsoseris,heterocarpa,,,stehet,,,,,,,,,h,,,,,,,05-Mar,wy,n,,t,,nh
CARYOPHYLLACEAE,PINK FAMILY,stme,stemed,Stellaria media,Stellaria,media,,,stemed,chickweed,,,,,,,,h,,,,,,,,,i,,,IDed by John Chesnut April 2011 on CW4,ih
CARYOPHYLLACEAE,PINK FAMILY,stni,stenit,Stellaria nitens,Stellaria,nitens,,,stenit,shining chickweed,,,,x,,,,h,,,,,x,,06-Mar,,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,stpa,stepau,Stephanomeria pauciflora,Stephanomeria,pauciflora,,,stepau,wire lettuce,,,,x,,,,p,,,,,x,,09-Jul,p,n,,t,,np
ASTERACEAE,SUNFLOWER FAMILY,stgn,stygna,Stylocline gnaphaloides,Stylocline,gnaphaloides,,,stygna,everlasting nest straw,,,x,,,,,h,,,,,,x,06-Mar,w,n,,t,,nh
PAPAVERACEAE,POPPY FAMILY,sthe2,styhet,Stylomecon heterophylla,Stylomecon,heterophylla,,,styhet,wind poppy,,,,x,,,,h,,,,,x,,06-Mar,o,n,,t,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,sumo,suamoq,Suaeda moquinii (S. fruticosa),Suaeda,moquinii,,Suaeda fruticosa,suamoq,bush seepweed,C,x,,,,,,s,C,,,,,,10-Jul,,n,,t,,ns
TAMARICACEAE,TAMARISK FAMILY,taap,tamaph,Tamarix aphylla,Tamarix,aphylla,,,tamaph,,,,,,,,,it,,,,,,,,,i,,b,,it
TAMARICACEAE,TAMARISK FAMILY,atra,tamram,Tamarix ramosissima,Tamarix,ramosissima,,,tamram,tamarisk,,x,,,,,,t,x,,,,,,08-Apr,p,i,,c,,it
BRASSICACEAE,MUSTARD FAMILY,thcu,thycur,Thysanocarpus curvipes,Thysanocarpus,curvipes,,,thycur,"fringepod, lacepod",,,,x,,,,h,,,x,,,,05-Mar,w,n,,h,,nh
BRASSICACEAE,MUSTARD FAMILY,thla,thylac,Thysanocarpus laciniatus,Thysanocarpus,laciniatus,,,thylac,,,,,,,,,nh,,,,,,,,,n,,t,,nh
ANACARDIACEAE,SUMAC FAMILY,todi,toxdiv,Toxicodendron diversilobum,Toxicodendron,diversilobum,,,toxdiv,western poison oak,,,,,x,x,,s,,,,x,,,05-Mar,y,n,,j,,ns
FABACEAE,LEGUME FAMILY (PEA FAMILY),tralol,tralol,Trifolium albopurpureum v olivaceum (T. o.),Trifolium,albopurpureum,olivaceum,Trifolium olivaceum,tralol,clover,,,x,,,,,h,,x,,,,,06-Mar,p,n,,s,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),tral,trialb,Trifolium albopurpureum,Trifolium,albopurpureum,,,trialb,clover,,,x,,,,,h,,,x,,,,06-Mar,p,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),trde,tridep,Trifolium depauperatum,Trifolium,depauperatum,,,tridep,depauperate clover,,x,x,,,,,h,x,,,,,,06-Apr,p,n,,t,,nh
,,trifo,trifol,Trifolium sp.,Trifolium,sp.,,,trifol,,,,,,,,,h,,,,,,,,,n,,,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),trfr,trifra,Trifolium fragiferum,Trifolium,fragiferum,,,trifra,,,,,,,,,ip,,,,,,,,,i,,"b,f",,ip
FABACEAE,LEGUME FAMILY (PEA FAMILY),trgr2,trigra,Trifolium gracilentum,Trifolium,gracilentum,,,trigra,pinpoint clover,,,x,,,,,h,,x,,,,,06-Mar,p,n,,t,,nh
LAMIACEAE,MINT FAMILY,trla,trilan,Trichostema lanceolatum,Trichostema,lanceolatum,,,trilan,vinegar weed,x,C,C,C,,,,h,x,C,C,,C,,10-Apr,b,n,,t,,nh
LAMIACEAE,MINT FAMILY,trov,triova,Trichostema ovatum*,Trichostema,ovatum,,,triova,San Joaquin bluecurls,,,x,x,,,,h,,x,,,,,10-Jun,b,n,,h,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,trsp,tritic,Triticum sp.,Triticum,sp.,,,tritic,wheat. many v as crops,,,x,,,,,a,,x,,,,,07-Apr,,i,,t,,ia
FABACEAE,LEGUME FAMILY (PEA FAMILY),trwi,triwil,Trifolium willdenovii,Trifolium,willdenovii,,,triwil,,,,,,,,,nh,,,,,,,,,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,trgr1,trogra,Tropidocarpum gracile,Tropidocarpum,gracile,,,trogra,slender tropidocarpum,x,x,C,C,x,,,h,x,C,C,,C,,05-Feb,y,n,y,t,,nh
TYPHACEAE,CATTAIL FAMILY,tydo,typdom,Typha domingensis,Typha,domingensis,,,typdom,southern cattail,,,,,,,x,p,,,,,,,10-Jun,,n,,t,,np
,,unknown #1,unknown #1,"composite (George, S5/SC5)",,,,,unknown #1,,,,,,,,,,,,,,,,,,,,,,
,,unknown #8,unknown #8,mustard,,,,,unknown #8,,,,,,,,,ih,,,,,,,,,i,,,,ih
ASTERACEAE,SUNFLOWER FAMILY,urli,urolin,Uropappus lindleyi,Uropappus,lindleyi,,,urolin,silver puffs,,,x,,,,,h,,,,,x,,05-Mar,w,n,,h,,nh
URTICACEAE,NETTLE FAMILY,urdi,urtdio,Urtica dioica ssp holosericea,Urtica,dioica,holosericea,,urtdio,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
VERBENACEAE,VERVAIN FAMILY,vela,verlas,Verbena lasiostachys,Verbena,lasiostachys,,,verlas,verbena,,,,,,,x,p,,,,,,,10-Mar,p,n,,c,,np
FABACEAE,LEGUME FAMILY (PEA FAMILY),vibe,vicben,Vicia benghalensis,Vicia,benghalensis,,,vicben,,,,,,,,,"ih,v",,,,,,,,,i,,s,,"ih,v"
POACEAE (GRAMINEAE),GRASS FAMILY,vubr,vulbro,Vulpia bromoides (Festuca dertonensis),Vulpia,bromoides,,Festuca dertonensis,vulbro,,,,,,,,,a,,,,,,,06-Apr,,i,,w,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,vumi,vulmic,Vulpia microstachys vpauciflora (F. reflexa),Vulpia,microstachys,pauciflora,Festuca reflexa,fesmic,few-flowered fescue,x,C,C,C,C,x,,a,x,C,C,C,C,C,06-Apr,,n,y,h,,na
POACEAE (GRAMINEAE),GRASS FAMILY,vumy,vulmyu,Vulpia myuros v hirsuta (F. megalura),Vulpia,myuros,hirsuta,Festuca megalura,vulmyu,foxtail fescue,x,C,C,C,C,x,,a,x,C,C,C,C,C,06-Apr,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,vulpia,vulpia,Vulpia sp.,Vulpia,sp.,,,vulpia,,,,,,,,,a,,,,,,,,,,,,,a
ASTERACEAE,SUNFLOWER FAMILY,xasp,xanspi,Xanthium spinosum,Xanthium,spinosum,,,xanspi,,,,,,,,,ih,,,,,,,,,i,,ak,,ih
APIACEAE,CARROT FAMILY,yami,yabmic,Yabea microcarpa,Yabea,microcarpa,,,yabmic,,,,,,,,,nh,,,,,,,,,n,,f,,nh
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,yuwh,yucwhi,Yucca whipplei,Yucca,whipplei,,,yucwhi,our Lord's candle,,,,C,C,C,,s,,,C,,C,C,06-May,w,n,,t,,ns
