g= grass; f= forb,,,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,
ucsc,cl3,ll,2,1,,,,,,,,,9,,,,,,,,,11,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,3,,,2,33
ucsc,cl3,ll,2,2,,,,,,,,,7,,,,,,,,,13,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,1,,,,,2,1,,,1,34
ucsc,cl3,ll,2,3,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,1,3,,,1,13
ucsc,cl3,ll,2,4,,,,,,,,,8,,,,,,,,,14,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,3,1,,,,34
ucsc,cl3,ll,3,1,1,,,,,,,,2,,,4,4,,,,,2,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,1,,,,,22
ucsc,cl3,ll,3,2,1,,,,,,,,14,1,,2,1,,1,,,11,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,3,,,,,48
ucsc,cl3,ll,3,3,,,,,,,,,16,3,,,,,,,,1,,,3,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,30
ucsc,cl3,ll,3,4,,,,,,,,,19,3,,1,1,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,33
ucsc,cl3,re,1,1,3,,,,,,,,16,9,3,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,2,,,,1,42
ucsc,cl3,re,1,2,1,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,1,,,,,,,,,1,,,,,3,,,,,39
ucsc,cl3,re,1,3,2,17,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,2,,,,,3,,,,,46
ucsc,cl3,re,1,4,4,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,12,1,,,,38
ucsc,cl3,re,2,1,,,,,,,,,3,2,,,,,1,,,11,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,7,,,1,29
ucsc,cl3,re,2,2,6,,,,,,,,2,7,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,,1,5,,,,26
ucsc,cl3,re,2,3,2,,,,,,,,2,2,,,,,,,,15,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,2,1,,,28
ucsc,cl3,re,2,4,2,,,,,,,,5,1,,,,,,,,17,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,3,,1,,32
ucsc,cl3,re,3,1,,,,,,,,,2,2,,2,,,,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,5,,,,,17
ucsc,cl3,re,3,2,,,,,,,,,18,2,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,,,,31
ucsc,cl3,re,3,3,1,,,,,,,,18,3,,3,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2,,,,,7,1,,,,43
ucsc,cl3,re,3,4,,,,,,,,,8,2,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,4,8,,,,32
ucsc,cl3,sd,1,1,2,,,,,,,,22,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,,,1,,,1,,36
ucsc,cl3,sd,1,2,,,,,,,,,2,,,,1,,,,,2,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,11
ucsc,cl3,sd,1,3,,,,,,,,,16,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,,,1,29
ucsc,cl3,sd,1,4,1,,,,,,,,7,1,,,,,,,,11,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,1,4,,1,1,31
ucsc,cl3,sd,2,1,,,,,,,,,11,,,3,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,2,,,,,,,1,,,,,2,1,,,,25
ucsc,cl3,sd,2,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,19,,,,27
ucsc,cl3,sd,2,3,3,,,,,,,,9,,,2,1,,,,,3,,,,,,,,,,,,,,,6,,,,,,,3,,,,,,,1,,,,,7,2,,,,37
ucsc,cl3,sd,2,4,2,,,,,,,,13,,,3,,,,,,4,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1,,,,,7,2,,,,41
ucsc,cl3,sd,3,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,9
ucsc,cl3,sd,3,2,2,,,,,,,,2,,,,1,,,,,13,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,26
ucsc,cl3,sd,3,3,1,,,,,,,,1,,,,1,,,,,21,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,1,,,,30
ucsc,cl3,sd,3,4,,,,,,,,,4,1,,,,,,,,17,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,3,2,,,,33
ucsc,con,no,1,1,,,,,,,,,1,,,3,,,,,,16,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1,1,,,2,33
ucsc,con,no,1,2,,,,,,,,,,,,12,,,,,,9,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,4,,,,,2,,,,1,34
ucsc,con,no,1,3,,,,,,,,,,,,3,3,,,,,,,,1,,,,,,,,,,,,19,,,,,3,,,,,,,,,2,,,,,,,,,1,32
ucsc,con,no,1,4,,,,,,,,,,,,7,,,,,,8,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,2,,,,,,,,,1,33
ucsc,con,no,2,1,,,,,,,,,1,,,1,,,,,,18,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,3,32
ucsc,con,no,2,2,2,,,,,,,,1,,,1,3,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,3,,,,3,16
ucsc,con,no,2,3,,,,,,,,,1,,,,,,,,,16,,,,,,,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,1,2,,,2,36
ucsc,con,no,2,4,1,,,,,,,,1,,,,,,,,,13,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,3,,,,1,31
ucsc,con,no,3,1,,,,,,,,,11,,,5,1,,,,,1,,,,,,,,,,,,,,,12,,,,,1,,,,,,,,,4,,,,,3,2,,,,40
ucsc,con,no,3,2,,,,,,,,,6,,,4,1,,,,,,,,1,,,,,,,,,,,,14,,,,,,,,,,,,,,9,,,,,8,,,,1,44
ucsc,con,no,3,3,,,,,,,,,15,,,3,1,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,6,,,,,1,,,,,41
ucsc,con,no,3,4,,,,,,,,,6,,,5,3,,,,,1,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,5,,,,,1,,,,2,38
ucsc,gra,no,1,1,1,,,,,,,,6,1,,,,,,,,9,,,,,,,,,,,,,,,11,,,,,3,,,,,,,,,2,,,,,6,,,,1,40
ucsc,gra,no,1,2,,,,,,,,,5,,,,1,,,,,6,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,4,,,,,8,2,,,,38
ucsc,gra,no,1,3,1,,,,,,,,6,1,,,1,,,,,7,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,2,,,,,7,1,,,3,36
ucsc,gra,no,1,4,,,,,,,,,1,,,,1,,,,,15,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,7,1,,,1,35
ucsc,gra,no,2,1,,5,,,,,,,2,,,,1,,,,,8,,,1,,,,,,,,,,,,1,,,,,4,,,,,,,,,8,,,,,9,,,,1,40
ucsc,gra,no,2,2,,9,,,,,,,1,,,,4,,1,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,19,,,,,9,1,,,,47
ucsc,gra,no,2,3,,7,,,,,,,1,,,7,1,,,,,8,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,17,,,,1,52
ucsc,gra,no,2,4,,,,,,,,,2,,,1,4,,1,,,9,,,2,,,,,,,,,,,,1,,,,,1,,,,,,,,,12,,,,,9,,2,,,44
ucsc,gra,no,3,1,2,,,,,,,,2,,,8,,,,,,,,,1,,,,,,,,,,,,18,,,,,,,,,,,,,,2,,,,,6,,,,3,42
ucsc,gra,no,3,2,2,1,,,,,,,1,,,,,,,,,11,,,,,,,,,,,,,,,15,,,,,1,,,,,,,,,3,,,,,1,,,,,35
ucsc,gra,no,3,3,,13,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,22,,,,,11,,,,,62
ucsc,gra,no,3,4,,,,,,,,,8,1,,8,,,,,,1,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,6,,,,,14,,,,,51
